modelname,Accuracy, precision, recall, fscore, Roc-AUC
lr,kolkata_WE_100.csv,0.951,0.929,0.927,0.928,0.994
gnb,kolkata_WE_100.csv,0.769,0.720,0.765,0.728,0.950
svm,kolkata_WE_100.csv,0.949,0.941,0.908,0.922,0.994
sgd,kolkata_WE_100.csv,0.934,0.929,0.889,0.902,0.960
adaboost,kolkata_WE_100.csv,0.797,0.775,0.741,0.753,0.884
gboost,kolkata_WE_100.csv,0.925,0.911,0.879,0.892,0.992
xgboost,kolkata_WE_100.csv,0.940,0.909,0.897,0.902,0.995
lr,delhi_WE_100.csv,0.917,0.884,0.884,0.883,0.989
gnb,delhi_WE_100.csv,0.725,0.616,0.640,0.619,0.913
svm,delhi_WE_100.csv,0.913,0.928,0.804,0.845,0.992
sgd,delhi_WE_100.csv,0.859,0.862,0.793,0.806,0.912
adaboost,delhi_WE_100.csv,0.748,0.629,0.622,0.623,0.879
gboost,delhi_WE_100.csv,0.895,0.858,0.771,0.799,0.986
xgboost,delhi_WE_100.csv,0.930,0.937,0.837,0.872,0.993
lr,kolkata_infercent_4096.csv,0.963,0.954,0.940,0.946,0.997
gnb,kolkata_infercent_4096.csv,0.702,0.680,0.667,0.671,0.899
svm,kolkata_infercent_4096.csv,0.957,0.954,0.937,0.945,0.996
sgd,kolkata_infercent_4096.csv,0.960,0.958,0.943,0.950,0.980
adaboost,kolkata_infercent_4096.csv,0.725,0.703,0.689,0.691,0.810
gboost,kolkata_infercent_4096.csv,0.943,0.930,0.906,0.917,0.996
xgboost,kolkata_infercent_4096.csv,0.955,0.952,0.930,0.940,0.997
lr,delhi_infercent_4096_2.csv,0.533,0.196,0.281,0.230,0.779
gnb,delhi_infercent_4096_2.csv,0.569,0.596,0.561,0.482,0.920
svm,delhi_infercent_4096_2.csv,0.416,0.156,0.235,0.185,0.676
sgd,delhi_infercent_4096_2.csv,0.228,0.155,0.183,0.103,0.539
adaboost,delhi_infercent_4096_2.csv,0.621,0.607,0.572,0.578,0.820
gboost,delhi_infercent_4096_2.csv,0.951,0.956,0.919,0.936,0.996
xgboost,delhi_infercent_4096_2.csv,0.963,0.973,0.943,0.957,0.998
