SVM-w2v,0.950,0.942,0.903,0.919,0.994
SGD-w2v,0.947,0.934,0.922,0.928,0.978
SGD-infercent,0.948,0.942,0.914,0.925,0.972
LR-w2v,0.957,0.946,0.938,0.941,0.996
LR-infercent,0.953,0.949,0.932,0.939,0.997
SVM-infercent,0.938,0.931,0.918,0.924,0.994
GNB-w2v,0.756,0.708,0.762,0.717,0.948
GNB-infercent,0.708,0.708,0.671,0.686,0.905
Adaboost-w2v,0.799,0.756,0.733,0.742,0.913
Adaboost-infercent,0.749,0.753,0.720,0.731,0.885
GBoost-w2v,0.921,0.899,0.876,0.886,0.993
XGBoost-w2v,0.938,0.914,0.902,0.907,0.995
XGBoost-infercent,0.958,0.950,0.930,0.939,0.996
GBoost-infercent,0.936,0.930,0.909,0.918,0.995
